1	1	23	84108	129	351.54
2	1	18	67867	77	1251.29
3	2	17	39901	117	1313.35
4	4	5	60379	199	789.76
5	5	35	54433	117	221.09
6	6	5	99508	161	697.2
7	6	22	25403	69	270.66
8	6	49	60809	16	1331.06
9	6	5	57496	94	1031.17
10	7	3	15297	41	704.11
11	8	40	1248	132	1230.02
12	9	26	15159	150	1110.33
13	9	36	73504	142	383.89
14	9	10	43390	44	992.21
15	9	21	28926	3	924.29
16	10	34	50410	20	1350.71
17	10	33	96902	187	816.74
18	11	36	42950	57	967.02
19	11	6	40797	91	1103.71
20	11	21	53532	70	1169.71
21	13	20	39332	72	893.34
22	13	35	64276	11	76.65
23	14	18	60943	17	468.04
24	14	23	27529	104	388.86
25	14	21	54018	119	1341.88
26	15	32	87350	1	1296.43
27	15	6	59709	45	442.27
28	16	14	4221	105	445.48
29	16	3	23747	10	453.15
30	17	6	27611	16	1373.14
31	17	18	24262	2	522.87
32	17	42	6592	144	1293.71
33	19	38	8038	117	671.89
34	20	23	35723	110	1178.62
35	20	42	42198	165	1099.13
36	21	5	24496	43	807.35
37	22	3	91673	163	488.33
38	22	44	64943	69	316.43
39	23	36	10074	75	1114.78
40	24	31	90286	150	523.58
41	24	26	79258	133	762.01
42	25	4	34913	163	860.09
43	26	23	33842	39	902.51
44	26	18	66177	192	365.98
45	27	13	45860	121	453.85
46	28	16	30510	22	158.29
47	28	28	10749	60	1013.18
48	28	50	59751	194	841.63
49	29	5	65734	30	16.97
50	29	45	30380	74	438.47
51	31	39	44462	9	1015.58
52	31	23	54217	186	1005.23
53	32	18	22246	134	1385.73
54	32	30	89060	41	1397.64
55	33	39	17053	101	1228.12
56	34	27	83949	27	1036.95
57	34	11	62812	55	543.23
58	35	13	27474	144	1116.39
59	36	12	39440	57	1093.57
60	36	39	75605	47	45.58
61	36	6	75482	15	1424.65
62	36	10	66946	86	298.62
63	38	4	34913	58	1282.38
64	39	45	1901	116	200.14
65	39	44	5483	18	208.12
66	40	5	73880	78	1220.61
67	41	23	69462	195	570.84
68	42	18	40508	14	970.99
69	43	25	2357	4	601.89
70	45	36	29259	140	214.43
71	46	15	85670	37	1068.05
72	46	40	84586	61	1096.64
73	47	33	99730	118	68.53
74	47	26	14964	11	863.82
75	47	41	79866	71	364.0
76	47	32	30439	97	861.2
77	48	33	38934	139	79.79
78	49	19	42321	65	46.82
