1	195	2022-01-27	Pendiente
2	175	2022-11-29	Confirmada
3	141	2022-02-14	Confirmada
4	167	2020-06-12	En_transito
5	11	2025-09-25	Cancelada
6	137	2022-05-01	Pendiente
7	104	2024-10-31	En_transito
8	164	2024-01-01	Recibida
9	132	2025-05-24	Cancelada
10	41	2025-08-16	Confirmada
11	137	2020-11-30	Cancelada
12	134	2021-03-17	Recibida
13	86	2021-05-05	En_transito
14	117	2021-10-24	Confirmada
15	117	2024-05-20	Cancelada
16	81	2025-09-26	Cancelada
17	93	2022-11-06	Recibida
18	48	2025-11-04	Cancelada
19	3	2022-08-01	Recibida
20	2	2023-05-03	Pendiente
21	177	2023-12-30	Cancelada
22	67	2025-09-28	Confirmada
23	170	2023-04-19	Recibida
24	10	2023-01-09	Cancelada
25	163	2021-02-23	Pendiente
26	39	2023-04-25	Cancelada
27	6	2024-02-21	En_transito
28	73	2021-07-15	Pendiente
29	196	2020-12-12	Recibida
30	12	2020-07-24	En_transito
31	178	2023-02-23	En_transito
32	168	2021-11-02	Cancelada
33	174	2024-12-07	Pendiente
34	161	2025-02-09	Cancelada
35	7	2024-02-09	Recibida
36	49	2020-02-03	Pendiente
37	183	2025-03-28	Pendiente
38	169	2022-12-06	En_transito
39	136	2023-04-15	Recibida
40	79	2025-07-09	Recibida
41	10	2021-06-14	Pendiente
42	104	2025-08-29	En_transito
43	150	2020-01-19	En_transito
44	61	2023-12-27	Pendiente
45	106	2024-11-23	Confirmada
46	145	2025-07-24	Pendiente
47	66	2020-02-08	En_transito
48	115	2025-03-26	Cancelada
49	78	2020-11-05	Recibida
50	108	2021-10-11	Recibida
51	59	2020-05-15	Cancelada
52	32	2023-01-09	Confirmada
53	200	2020-09-13	Confirmada
54	14	2023-04-03	Cancelada
55	126	2021-08-29	Pendiente
56	28	2020-08-18	Cancelada
57	178	2020-12-06	Pendiente
58	196	2024-03-09	En_transito
59	17	2021-08-03	Cancelada
60	7	2023-01-26	Recibida
61	167	2022-05-21	Confirmada
62	85	2024-06-15	Cancelada
63	2	2025-02-16	En_transito
64	156	2023-12-07	Cancelada
65	182	2023-05-21	Cancelada
66	113	2024-02-22	Confirmada
67	117	2023-08-03	Confirmada
68	30	2025-07-15	Confirmada
69	70	2020-08-01	Confirmada
70	160	2024-01-25	Pendiente
71	2	2025-10-22	En_transito
72	155	2025-06-03	Confirmada
73	125	2022-10-28	Recibida
74	3	2022-10-03	En_transito
75	125	2024-11-21	Confirmada
76	158	2020-12-14	Pendiente
77	12	2020-08-29	Pendiente
78	95	2024-07-29	En_transito
79	109	2022-03-23	Cancelada
