1	1	33	97016	3	1665.2
2	1	33	36839	11	2000.8
3	1	22	28532	11	1438.26
4	1	34	72912	16	129.33
5	1	27	87408	1	2662.26
6	2	38	26892	10	2898.36
7	2	33	21436	10	2988.69
8	2	29	48265	11	2257.5
9	2	33	75341	13	144.36
10	2	21	70613	16	1497.52
11	2	10	72019	6	1773.71
12	2	11	87102	5	1092.54
13	3	23	32896	14	2111.76
14	3	24	52443	19	1108.7
15	3	29	87757	12	837.52
16	3	18	92761	9	311.56
17	3	33	70979	11	1846.72
18	3	3	31936	16	813.32
19	3	27	55360	3	2990.11
20	3	14	11974	13	1146.65
21	3	1	86107	2	802.1
22	3	43	38604	11	2452.39
23	4	39	28672	5	2673.16
24	4	22	38918	1	129.29
25	4	44	55065	5	1363.36
26	4	18	79106	9	1536.95
27	4	27	16702	8	2529.03
28	4	32	53813	19	2150.59
29	5	28	94397	2	2954.91
30	6	29	47544	17	2787.89
31	7	23	75152	1	2714.16
32	7	31	37957	12	271.47
33	7	26	4820	13	2306.71
34	7	2	59847	14	2240.56
35	7	23	9231	9	552.43
36	7	13	12356	20	49.86
37	8	39	90063	6	377.63
38	8	21	86791	20	246.14
39	8	36	37098	13	2489.47
40	8	6	7509	7	1431.94
41	9	24	30350	19	2531.2
42	9	33	27289	16	1265.28
43	9	24	63267	4	1842.79
44	9	14	19251	1	983.98
45	9	29	48822	13	18.99
46	9	12	46934	14	1823.51
47	9	29	75549	2	1361.92
48	9	36	67234	18	2019.35
49	10	21	70785	4	2328.0
50	10	41	64214	18	2950.28
51	10	44	82266	9	1512.08
52	10	29	96633	17	2002.72
53	10	23	61254	6	575.55
54	10	8	4298	13	1652.18
55	10	34	57036	4	2389.2
56	10	4	99764	12	478.11
57	11	33	46777	8	1967.7
58	12	5	26096	16	1705.11
59	12	40	54106	4	2492.22
60	12	13	81397	6	339.93
61	12	6	69430	6	1457.78
62	12	26	78332	20	1357.35
63	12	38	35695	19	2186.06
64	12	43	51182	19	2126.86
65	12	4	17758	7	1321.33
66	13	47	36413	20	1117.8
67	13	46	57253	20	2869.66
68	13	40	39546	1	1059.28
69	13	24	35353	6	1776.15
70	13	16	59596	19	369.69
71	13	2	39746	4	1109.2
72	13	34	13772	11	292.15
73	14	21	63512	6	2734.83
74	14	4	86767	1	1859.25
75	14	42	93592	3	2144.84
76	14	26	42096	18	1716.93
77	14	22	26410	13	945.07
78	14	50	55644	17	2188.29
79	14	6	45001	1	2048.83
80	14	20	36610	6	2298.32
81	15	13	77659	12	708.61
82	15	50	49252	3	2423.86
83	16	3	16243	18	1709.9
84	16	13	7360	1	2159.15
85	16	40	80712	4	2502.97
86	16	17	30205	3	880.22
87	16	48	37721	17	355.05
88	16	3	78862	15	2973.29
89	16	23	73594	20	503.26
90	16	17	45088	15	2393.45
91	16	6	78954	5	571.01
92	16	42	20256	7	2294.65
93	17	19	69850	16	1335.99
94	18	12	97178	9	743.88
95	18	7	81963	8	2968.68
96	18	36	82120	8	1633.78
97	18	10	13371	12	134.25
98	18	39	31898	18	1628.42
99	18	27	42348	15	69.91
