1	18339	1404.03	22
1	79084	696.12	7
1	60997	547.72	84
1	429	257.98	56
1	75280	1056.09	44
1	80733	1088.82	66
1	39718	75.54	85
1	2574	18.14	27
1	38138	534.21	65
1	38082	922.16	22
1	21538	547.33	66
1	24766	159.9	49
1	77991	650.86	40
1	98354	76.8	48
1	51662	1487.38	64
1	84213	729.26	11
1	29087	662.71	80
1	825	870.7	15
1	77227	936.92	69
1	23969	1129.24	89
1	83384	746.82	18
1	61764	183.96	51
1	28321	302.1	56
1	82869	628.13	63
1	83507	1102.86	22
1	72432	1459.65	19
1	96315	1017.48	48
1	40544	721.54	18
1	3586	535.12	8
1	33674	127.1	56
1	16115	592.69	38
1	71680	1196.53	70
1	29072	888.23	64
1	58356	142.31	15
1	85175	558.46	56
1	20252	1144.12	89
1	38926	494.42	69
1	20118	663.54	10
1	34749	683.47	70
1	78692	475.62	11
1	19957	1124.69	75
1	68602	1415.88	73
1	98240	33.66	50
1	46142	603.26	29
1	96528	168.98	69
1	52726	898.34	27
1	46099	740.1	10
1	1821	201.32	13
1	96232	875.28	84
1	56606	1295.41	69
1	76102	1259.23	38
1	73912	790.03	24
1	44751	832.2	31
1	10865	338.36	31
1	68731	835.28	52
1	26999	1389.8	27
1	62768	690.68	72
1	15016	338.44	20
1	66878	1009.94	17
1	45143	367.74	60
1	68726	378.6	65
1	13685	740.7	17
1	85577	68.85	18
1	3277	811.49	29
1	57551	308.08	89
1	47091	884.62	48
1	38522	430.2	21
1	89245	1393.28	25
1	66281	63.87	43
1	10174	704.55	44
1	71138	322.07	63
1	11317	858.46	87
1	40225	588.48	75
1	78567	1217.09	37
1	61564	1300.18	53
1	22178	1337.39	49
1	70062	1388.89	23
1	9294	670.96	69
1	75966	1233.32	54
1	5923	517.63	59
1	77849	919.99	11
1	73181	1269.88	38
1	30864	1096.22	58
1	18539	1386.83	17
1	30576	1226.96	30
1	72490	365.97	66
1	34204	329.71	33
1	8781	954.08	43
1	38941	261.64	33
1	38036	1252.5	90
1	6057	1403.86	77
1	46941	514.58	86
1	22542	354.88	69
1	80098	943.48	79
1	4248	1185.73	69
1	79370	888.89	43
1	3528	475.72	87
1	93537	58.46	29
1	74314	249.44	20
1	74343	890.21	87
1	33380	981.72	31
1	54891	784.2	49
1	22050	562.03	30
1	16413	1386.92	67
1	95352	1476.93	67
1	60842	729.9	85
1	81227	180.95	57
1	19054	1234.42	74
1	51945	431.07	64
1	33335	1483.39	42
1	56950	915.51	42
1	9413	1192.68	59
1	16312	997.2	40
1	25337	413.38	77
1	14794	509.47	64
1	99977	134.98	78
1	4672	756.62	46
1	94338	356.04	78
1	24316	1449.45	65
1	22734	268.87	58
1	97036	503.15	23
1	94049	688.7	69
1	559	514.3	34
1	77582	401.63	86
1	48638	3.72	18
1	26495	1048.41	41
1	14896	454.52	58
1	21816	762.14	41
1	87620	71.28	28
1	75455	1089.05	7
1	68418	757.42	27
1	87974	495.13	18
1	73940	161.55	48
1	73346	829.99	83
1	73211	563.22	17
1	93042	221.77	85
1	93452	510.11	14
1	34639	291.86	85
1	17838	1122.83	55
1	36111	791.39	7
1	46201	827.9	80
1	36025	1403.93	27
1	60529	496.54	87
1	10891	1482.68	89
1	79321	1459.15	11
1	40213	346.06	71
1	57110	414.92	8
1	90771	265.12	87
